,symbol,metric,value
440,AMCR,Market Cap,18.589B
441,AMCR,Beta (5Y Monthly),0.34
442,AMCR,PE Ratio (TTM),19.33
443,AMCR,EPS (TTM),0.64
444,AMCR,Earnings Date,3-May-22
445,AMCR,Forward Dividend & Yield,0.48 (3.87%)
446,AMCR,Ex-Dividend Date,24-May-22
447,AMCR,1y Target Est,12.5
448,AMD,Previous Close,87.08
449,AMD,Open,87.36
450,AMD,Bid,85.99 x 800
451,AMD,Ask,86.00 x 1100
452,AMD,Day's Range,85.26 - 88.22
453,AMD,52 Week Range,79.43 - 164.46
454,AMD,Volume,"73,710,262"
455,AMD,Avg. Volume,"108,095,683"
456,AMD,Market Cap,139.623B
457,AMD,Beta (5Y Monthly),1.86
458,AMD,PE Ratio (TTM),32.33
459,AMD,EPS (TTM),2.66
460,AMD,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
461,AMD,Forward Dividend & Yield,N/A (N/A)
462,AMD,Ex-Dividend Date,27-Apr-95
463,AMD,1y Target Est,136.9
464,AEE,Previous Close,87.91
465,AEE,Open,87.59
466,AEE,Bid,86.18 x 900
467,AEE,Ask,90.00 x 1100
468,AEE,Day's Range,87.37 - 89.24
469,AEE,52 Week Range,79.35 - 99.20
470,AEE,Volume,"1,534,144"
471,AEE,Avg. Volume,"1,463,143"
472,AEE,Market Cap,22.974B
473,AEE,Beta (5Y Monthly),0.35
474,AEE,PE Ratio (TTM),22.81
475,AEE,EPS (TTM),3.9
476,AEE,Earnings Date,4-Aug-22
477,AEE,Forward Dividend & Yield,2.36 (2.68%)
478,AEE,Ex-Dividend Date,7-Jun-22
479,AEE,1y Target Est,98.83
480,AAL,Previous Close,13.9
481,AAL,Open,13.95
482,AAL,Bid,13.55 x 1100
483,AAL,Ask,13.59 x 1800
484,AAL,Day's Range,13.38 - 13.96
485,AAL,52 Week Range,11.93 - 22.35
486,AAL,Volume,"25,802,534"
487,AAL,Avg. Volume,"36,460,859"
488,AAL,Market Cap,8.807B
489,AAL,Beta (5Y Monthly),1.45
490,AAL,PE Ratio (TTM),N/A
491,AAL,EPS (TTM),-3.67
492,AAL,Earnings Date,"Jul 20, 2022 - Jul 25, 2022"
493,AAL,Forward Dividend & Yield,N/A (N/A)
494,AAL,Ex-Dividend Date,4-Feb-20
495,AAL,1y Target Est,19.67
496,AEP,Previous Close,93.6
497,AEP,Open,93.43
498,AEP,Bid,95.00 x 900
499,AEP,Ask,95.01 x 800
500,AEP,Day's Range,93.21 - 95.02
501,AEP,52 Week Range,80.22 - 104.81
502,AEP,Volume,"2,909,738"
503,AEP,Avg. Volume,"2,855,316"
504,AEP,Market Cap,48.776B
505,AEP,Beta (5Y Monthly),0.33
506,AEP,PE Ratio (TTM),18.2
507,AEP,EPS (TTM),5.22
508,AEP,Earnings Date,"Jul 20, 2022 - Jul 25, 2022"
509,AEP,Forward Dividend & Yield,3.12 (3.38%)
510,AEP,Ex-Dividend Date,9-May-22
511,AEP,1y Target Est,106.93
512,AXP,Previous Close,146.15
513,AXP,Open,147.99
514,AXP,Bid,144.54 x 1200
515,AXP,Ask,144.79 x 800
516,AXP,Day's Range,143.97 - 148.67
517,AXP,52 Week Range,136.49 - 199.55
518,AXP,Volume,"2,624,590"
519,AXP,Avg. Volume,"3,374,437"
520,AXP,Market Cap,108.659B
521,AXP,Beta (5Y Monthly),1.08
522,AXP,PE Ratio (TTM),14.43
523,AXP,EPS (TTM),10
524,AXP,Earnings Date,22-Jul-22
525,AXP,Forward Dividend & Yield,2.08 (1.44%)
526,AXP,Ex-Dividend Date,30-Jun-22
527,AXP,1y Target Est,197.2
528,AIG,Previous Close,52.77
529,AIG,Open,52.62
530,AIG,Bid,51.84 x 800
531,AIG,Ask,51.87 x 900
532,AIG,Day's Range,51.49 - 53.08
533,AIG,52 Week Range,44.54 - 65.73
534,AIG,Volume,"4,526,174"
535,AIG,Avg. Volume,"5,346,059"
536,AIG,Market Cap,41.131B
537,AIG,Beta (5Y Monthly),1.25
538,AIG,PE Ratio (TTM),4.49
539,AIG,EPS (TTM),11.56
540,AIG,Earnings Date,"Aug 03, 2022 - Aug 08, 2022"
541,AIG,Forward Dividend & Yield,1.28 (2.43%)
542,AIG,Ex-Dividend Date,15-Jun-22
543,AIG,1y Target Est,69.08
544,AMT,Previous Close,261.65
545,AMT,Open,262.23
546,AMT,Bid,259.02 x 800
547,AMT,Ask,259.06 x 800
548,AMT,Day's Range,258.14 - 264.09
549,AMT,52 Week Range,220.00 - 303.72
550,AMT,Volume,"1,985,093"
551,AMT,Avg. Volume,"2,150,290"
552,AMT,Market Cap,120.51B
553,AMT,Beta (5Y Monthly),0.48
554,AMT,PE Ratio (TTM),44.94
555,AMT,EPS (TTM),5.77
556,AMT,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
557,AMT,Forward Dividend & Yield,5.72 (2.19%)
558,AMT,Ex-Dividend Date,16-Jun-22
559,AMT,1y Target Est,286.22
560,AWK,Previous Close,148.34
561,AWK,Open,147.88
562,AWK,Bid,149.06 x 900
563,AWK,Ask,149.12 x 900
564,AWK,Day's Range,147.05 - 149.20
565,AWK,52 Week Range,129.45 - 189.65
566,AWK,Volume,"859,193"
567,AWK,Avg. Volume,"919,069"
568,AWK,Market Cap,27.072B
569,AWK,Beta (5Y Monthly),0.45
570,AWK,PE Ratio (TTM),21.08
571,AWK,EPS (TTM),7.07
572,AWK,Earnings Date,"Jul 27, 2022 - Jul 31, 2022"
573,AWK,Forward Dividend & Yield,2.62 (1.99%)
574,AWK,Ex-Dividend Date,9-May-22
575,AWK,1y Target Est,165
576,AMP,Previous Close,249.29
577,AMP,Open,251
578,AMP,Bid,247.40 x 1000
579,AMP,Ask,247.65 x 1100
580,AMP,Day's Range,246.01 - 251.65
581,AMP,52 Week Range,233.16 - 332.37
582,AMP,Volume,"621,566"
583,AMP,Avg. Volume,"639,617"
584,AMP,Market Cap,27.172B
585,AMP,Beta (5Y Monthly),1.49
586,AMP,PE Ratio (TTM),9.5
587,AMP,EPS (TTM),26.02
588,AMP,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
589,AMP,Forward Dividend & Yield,5.00 (2.06%)
590,AMP,Ex-Dividend Date,6-May-22
591,AMP,1y Target Est,333.8
592,ABC,Previous Close,148.46
593,ABC,Open,148.31
594,ABC,Bid,149.46 x 900
595,ABC,Ask,149.57 x 800
596,ABC,Day's Range,147.81 - 149.71
597,ABC,52 Week Range,111.34 - 167.19
598,ABC,Volume,"1,108,406"
599,ABC,Avg. Volume,"1,573,841"
600,ABC,Market Cap,31.256B
601,ABC,Beta (5Y Monthly),0.45
602,ABC,PE Ratio (TTM),18.2
603,ABC,EPS (TTM),8.2
604,ABC,Earnings Date,"Aug 02, 2022 - Aug 08, 2022"
605,ABC,Forward Dividend & Yield,1.84 (1.28%)
606,ABC,Ex-Dividend Date,13-May-22
607,ABC,1y Target Est,172.17
608,AME,Previous Close,113.5
609,AME,Open,113.89
610,AME,Bid,112.25 x 800
611,AME,Ask,112.27 x 1200
612,AME,Day's Range,112.24 - 113.76
613,AME,52 Week Range,106.17 - 148.07
614,AME,Volume,"793,841"
615,AME,Avg. Volume,"1,141,233"
616,AME,Market Cap,26.017B
617,AME,Beta (5Y Monthly),1.27
618,AME,PE Ratio (TTM),25.15
619,AME,EPS (TTM),4.48
620,AME,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
621,AME,Forward Dividend & Yield,0.88 (0.78%)
622,AME,Ex-Dividend Date,9-Jun-22
623,AME,1y Target Est,154.81
624,AMGN,Previous Close,245.37
625,AMGN,Open,245.17
626,AMGN,Bid,245.00 x 1000
627,AMGN,Ask,244.91 x 800
628,AMGN,Day's Range,244.02 - 246.29
629,AMGN,52 Week Range,198.64 - 258.45
630,AMGN,Volume,"2,572,467"
631,AMGN,Avg. Volume,"3,298,398"
632,AMGN,Market Cap,130.799B
633,AMGN,Beta (5Y Monthly),0.57
634,AMGN,PE Ratio (TTM),24.19
635,AMGN,EPS (TTM),10.12
636,AMGN,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
