,symbol,metric,value
6055,RL,Avg. Volume,"1,092,062"
6056,RL,Market Cap,6.6B
6057,RL,Beta (5Y Monthly),1.39
6058,RL,PE Ratio (TTM),11.67
6059,RL,EPS (TTM),8.07
6060,RL,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
6061,RL,Forward Dividend & Yield,3.00 (3.26%)
6062,RL,Ex-Dividend Date,30-Jun-22
6063,RL,1y Target Est,119.94
6064,RJF,Previous Close,92.5
6065,RJF,Open,92.97
6066,RJF,Bid,66.00 x 800
6067,RJF,Ask,107.90 x 1000
6068,RJF,Day's Range,91.08 - 92.97
6069,RJF,52 Week Range,81.96 - 117.37
6070,RJF,Volume,"915,593"
6071,RJF,Avg. Volume,"1,378,475"
6072,RJF,Market Cap,20.06B
6073,RJF,Beta (5Y Monthly),1.1
6074,RJF,PE Ratio (TTM),13.08
6075,RJF,EPS (TTM),7.08
6076,RJF,Earnings Date,27-Jul-22
6077,RJF,Forward Dividend & Yield,1.36 (1.51%)
6078,RJF,Ex-Dividend Date,30-Jun-22
6079,RJF,1y Target Est,122.38
6080,RTX,Previous Close,94.2
6081,RTX,Open,94.44
6082,RTX,Bid,94.82 x 1000
6083,RTX,Ask,94.90 x 900
6084,RTX,Day's Range,93.86 - 95.05
6085,RTX,52 Week Range,79.00 - 106.02
6086,RTX,Volume,"2,934,189"
6087,RTX,Avg. Volume,"5,202,390"
6088,RTX,Market Cap,141.003B
6089,RTX,Beta (5Y Monthly),0.85
6090,RTX,PE Ratio (TTM),33.74
6091,RTX,EPS (TTM),2.81
6092,RTX,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
6093,RTX,Forward Dividend & Yield,2.20 (2.40%)
6094,RTX,Ex-Dividend Date,18-Aug-22
6095,RTX,1y Target Est,115.44
6096,O,Previous Close,69.19
6097,O,Open,69.06
6098,O,Bid,69.40 x 1000
6099,O,Ask,69.41 x 900
6100,O,Day's Range,68.56 - 69.67
6101,O,52 Week Range,62.29 - 75.40
6102,O,Volume,"3,229,445"
6103,O,Avg. Volume,"4,073,535"
6104,O,Market Cap,41.775B
6105,O,Beta (5Y Monthly),0.75
6106,O,PE Ratio (TTM),73.09
6107,O,EPS (TTM),0.95
6108,O,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
6109,O,Forward Dividend & Yield,2.97 (4.29%)
6110,O,Ex-Dividend Date,30-Jun-22
6111,O,1y Target Est,75.94
6112,REG,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6113,REGN,Previous Close,612.49
6114,REGN,Open,608.76
6115,REGN,Bid,602.13 x 800
6116,REGN,Ask,602.27 x 800
6117,REGN,Day's Range,601.39 - 610.95
6118,REGN,52 Week Range,536.08 - 747.42
6119,REGN,Volume,"556,807"
6120,REGN,Avg. Volume,"713,509"
6121,REGN,Market Cap,66.171B
6122,REGN,Beta (5Y Monthly),0.24
6123,REGN,PE Ratio (TTM),8.57
6124,REGN,EPS (TTM),70.31
6125,REGN,Earnings Date,"Aug 03, 2022 - Aug 08, 2022"
6126,REGN,Forward Dividend & Yield,N/A (N/A)
6127,REGN,Ex-Dividend Date,N/A
6128,REGN,1y Target Est,691.14
6129,RF,Previous Close,19.49
6130,RF,Open,19.65
6131,RF,Bid,19.00 x 4000
6132,RF,Ask,19.55 x 2200
6133,RF,Day's Range,19.10 - 19.69
6134,RF,52 Week Range,18.02 - 25.57
6135,RF,Volume,"6,848,656"
6136,RF,Avg. Volume,"8,505,651"
6137,RF,Market Cap,18.083B
6138,RF,Beta (5Y Monthly),1.27
6139,RF,PE Ratio (TTM),8.03
6140,RF,EPS (TTM),2.41
6141,RF,Earnings Date,22-Jul-22
6142,RF,Forward Dividend & Yield,0.68 (3.49%)
6143,RF,Ex-Dividend Date,2-Jun-22
6144,RF,1y Target Est,25.2
6145,RSG,Previous Close,129.9
6146,RSG,Open,129.59
6147,RSG,Bid,129.24 x 1100
6148,RSG,Ask,130.21 x 1800
6149,RSG,Day's Range,129.01 - 130.47
6150,RSG,52 Week Range,108.10 - 145.98
6151,RSG,Volume,"1,123,423"
6152,RSG,Avg. Volume,"1,300,579"
6153,RSG,Market Cap,40.876B
6154,RSG,Beta (5Y Monthly),0.76
6155,RSG,PE Ratio (TTM),30.66
6156,RSG,EPS (TTM),4.22
6157,RSG,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
6158,RSG,Forward Dividend & Yield,1.84 (1.48%)
6159,RSG,Ex-Dividend Date,30-Jun-22
6160,RSG,1y Target Est,146.77
6161,RMD,Previous Close,211.5
6162,RMD,Open,212.21
6163,RMD,Bid,209.74 x 800
6164,RMD,Ask,210.63 x 800
6165,RMD,Day's Range,209.40 - 212.88
6166,RMD,52 Week Range,189.40 - 301.34
6167,RMD,Volume,"66,219"
6168,RMD,Avg. Volume,"590,850"
6169,RMD,Market Cap,31.251B
6170,RMD,Beta (5Y Monthly),0.45
6171,RMD,PE Ratio (TTM),39.63
6172,RMD,EPS (TTM),5.3
6173,RMD,Earnings Date,"Aug 03, 2022 - Aug 08, 2022"
6174,RMD,Forward Dividend & Yield,1.68 (0.79%)
6175,RMD,Ex-Dividend Date,11-May-22
6176,RMD,1y Target Est,239.83
6177,RHI,Previous Close,77.9
6178,RHI,Open,78.26
6179,RHI,Bid,77.80 x 900
6180,RHI,Ask,77.72 x 800
6181,RHI,Day's Range,76.89 - 78.56
6182,RHI,52 Week Range,73.39 - 125.77
6183,RHI,Volume,"1,071,197"
6184,RHI,Avg. Volume,"1,039,053"
6185,RHI,Market Cap,8.567B
6186,RHI,Beta (5Y Monthly),1.46
6187,RHI,PE Ratio (TTM),13.14
6188,RHI,EPS (TTM),5.9
6189,RHI,Earnings Date,"Jul 20, 2022 - Jul 25, 2022"
6190,RHI,Forward Dividend & Yield,1.72 (2.21%)
6191,RHI,Ex-Dividend Date,24-May-22
6192,RHI,1y Target Est,97.89
6193,ROK,Previous Close,201.06
6194,ROK,Open,202.78
6195,ROK,Bid,201.54 x 1100
6196,ROK,Ask,201.67 x 1100
6197,ROK,Day's Range,198.42 - 204.29
6198,ROK,52 Week Range,190.08 - 354.99
6199,ROK,Volume,"711,469"
6200,ROK,Avg. Volume,"1,072,532"
6201,ROK,Market Cap,23.402B
6202,ROK,Beta (5Y Monthly),1.43
6203,ROK,PE Ratio (TTM),36.6
6204,ROK,EPS (TTM),5.5
6205,ROK,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
6206,ROK,Forward Dividend & Yield,4.48 (2.27%)
6207,ROK,Ex-Dividend Date,12-Aug-22
6208,ROK,1y Target Est,249.1
6209,ROL,Previous Close,35.11
6210,ROL,Open,35.15
6211,ROL,Bid,35.31 x 800
6212,ROL,Ask,35.32 x 800
6213,ROL,Day's Range,34.68 - 35.38
6214,ROL,52 Week Range,28.51 - 40.11
6215,ROL,Volume,"323,937"
6216,ROL,Avg. Volume,"1,503,038"
6217,ROL,Market Cap,17.389B
6218,ROL,Beta (5Y Monthly),0.59
6219,ROL,PE Ratio (TTM),52.7
6220,ROL,EPS (TTM),0.67
6221,ROL,Earnings Date,"Jul 26, 2022 - Aug 01, 2022"
6222,ROL,Forward Dividend & Yield,0.40 (1.17%)
6223,ROL,Ex-Dividend Date,9-May-22
6224,ROL,1y Target Est,37.33
6225,ROP,Previous Close,407.71
6226,ROP,Open,406.43
6227,ROP,Bid,275.00 x 900
6228,ROP,Ask,489.88 x 900
6229,ROP,Day's Range,397.69 - 406.62
6230,ROP,52 Week Range,369.51 - 505.00
6231,ROP,Volume,"498,001"
6232,ROP,Avg. Volume,"682,114"
6233,ROP,Market Cap,42.235B
6234,ROP,Beta (5Y Monthly),1.01
6235,ROP,PE Ratio (TTM),14.75
6236,ROP,EPS (TTM),27.04
6237,ROP,Earnings Date,"Jul 21, 2022 - Jul 25, 2022"
6238,ROP,Forward Dividend & Yield,2.48 (0.65%)
6239,ROP,Ex-Dividend Date,7-Jul-22
6240,ROP,1y Target Est,494.54
6241,ROST,Previous Close,77.53
6242,ROST,Open,77.51
6243,ROST,Bid,76.14 x 800
6244,ROST,Ask,76.16 x 800
6245,ROST,Day's Range,75.84 - 78.28
6246,ROST,52 Week Range,69.75 - 127.58
6247,ROST,Volume,"2,059,623"
6248,ROST,Avg. Volume,"4,097,525"
6249,ROST,Market Cap,26.713B
6250,ROST,Beta (5Y Monthly),0.93
6251,ROST,PE Ratio (TTM),16.96
6252,ROST,EPS (TTM),4.5
6253,ROST,Earnings Date,"Aug 17, 2022 - Aug 22, 2022"
6254,ROST,Forward Dividend & Yield,1.24 (1.60%)
6255,ROST,Ex-Dividend Date,6-Jun-22
6256,ROST,1y Target Est,97
6257,RCL,Previous Close,41.76
6258,RCL,Open,41.74
6259,RCL,Bid,40.15 x 1100
6260,RCL,Ask,40.58 x 1400
6261,RCL,Day's Range,38.92 - 41.84
6262,RCL,52 Week Range,34.10 - 98.27
6263,RCL,Volume,"6,965,849"
6264,RCL,Avg. Volume,"4,355,427"
6265,RCL,Market Cap,10.282B
6266,RCL,Beta (5Y Monthly),2.41
6267,RCL,PE Ratio (TTM),N/A
6268,RCL,EPS (TTM),-20.79
6269,RCL,Earnings Date,"Aug 02, 2022 - Aug 08, 2022"
6270,RCL,Forward Dividend & Yield,N/A (N/A)
6271,RCL,Ex-Dividend Date,5-Mar-20
6272,RCL,1y Target Est,80.14
6273,SPGI,Previous Close,341.66
6274,SPGI,Open,342.45
6275,SPGI,Bid,340.34 x 1100
6276,SPGI,Ask,349.72 x 800
6277,SPGI,Day's Range,337.32 - 343.26
6278,SPGI,52 Week Range,311.87 - 484.21
6279,SPGI,Volume,"1,705,914"
6280,SPGI,Avg. Volume,"2,639,970"
6281,SPGI,Market Cap,115.726B
6282,SPGI,Beta (5Y Monthly),1.06
6283,SPGI,PE Ratio (TTM),24.56
6284,SPGI,EPS (TTM),13.86
6285,SPGI,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
6286,SPGI,Forward Dividend & Yield,3.40 (1.02%)
6287,SPGI,Ex-Dividend Date,25-Aug-22
6288,SPGI,1y Target Est,416.69
6289,CRM,Previous Close,185.92
6290,CRM,Open,186.11
6291,CRM,Bid,181.20 x 900
6292,CRM,Ask,181.51 x 900
6293,CRM,Day's Range,180.47 - 186.56
6294,CRM,52 Week Range,154.55 - 311.75
6295,CRM,Volume,"5,978,652"
6296,CRM,Avg. Volume,"8,214,982"
6297,CRM,Market Cap,180.403B
6298,CRM,Beta (5Y Monthly),1.16
6299,CRM,PE Ratio (TTM),179.16
6300,CRM,EPS (TTM),1.01
6301,CRM,Earnings Date,"Aug 23, 2022 - Aug 29, 2022"
6302,CRM,Forward Dividend & Yield,N/A (N/A)
6303,CRM,Ex-Dividend Date,N/A
6304,CRM,1y Target Est,246.86
6305,SBAC,Previous Close,327.73
6306,SBAC,Open,329.32
6307,SBAC,Bid,325.01 x 1200
6308,SBAC,Ask,325.25 x 900
6309,SBAC,Day's Range,323.65 - 330.06
6310,SBAC,52 Week Range,286.41 - 391.15
6311,SBAC,Volume,"496,690"
6312,SBAC,Avg. Volume,"712,369"
6313,SBAC,Market Cap,34.982B
6314,SBAC,Beta (5Y Monthly),0.41
6315,SBAC,PE Ratio (TTM),82.3
6316,SBAC,EPS (TTM),3.94
6317,SBAC,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
6318,SBAC,Forward Dividend & Yield,2.58 (0.88%)
6319,SBAC,Ex-Dividend Date,18-May-22
6320,SBAC,1y Target Est,388.29
6321,SLB,Previous Close,35.06
6322,SLB,Open,35.78
6323,SLB,Bid,35.78 x 1800
6324,SLB,Ask,36.00 x 1200
6325,SLB,Day's Range,34.92 - 35.97
6326,SLB,52 Week Range,25.90 - 49.83
6327,SLB,Volume,"27,982,222"
6328,SLB,Avg. Volume,"13,573,237"
6329,SLB,Market Cap,50.729B
6330,SLB,Beta (5Y Monthly),1.91
6331,SLB,PE Ratio (TTM),24.43
6332,SLB,EPS (TTM),1.47
6333,SLB,Earnings Date,22-Jul-22
6334,SLB,Forward Dividend & Yield,0.70 (1.91%)
6335,SLB,Ex-Dividend Date,31-May-22
6336,SLB,1y Target Est,N/A
6337,STX,Previous Close,74.15
6338,STX,Open,74.83
6339,STX,Bid,71.99 x 900
6340,STX,Ask,74.95 x 800
6341,STX,Day's Range,73.50 - 74.83
6342,STX,52 Week Range,69.78 - 117.67
6343,STX,Volume,"1,022,125"
6344,STX,Avg. Volume,"1,901,740"
6345,STX,Market Cap,15.944B
6346,STX,Beta (5Y Monthly),1.02
6347,STX,PE Ratio (TTM),9.16
6348,STX,EPS (TTM),8.1
6349,STX,Earnings Date,"Jul 19, 2022 - Jul 25, 2022"
6350,STX,Forward Dividend & Yield,2.80 (3.78%)
6351,STX,Ex-Dividend Date,23-Jun-22
6352,STX,1y Target Est,N/A
6353,SEE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6354,SRE,Previous Close,149.44
6355,SRE,Open,149.28
6356,SRE,Bid,144.97 x 1300
6357,SRE,Ask,151.00 x 900
6358,SRE,Day's Range,148.59 - 151.33
6359,SRE,52 Week Range,119.56 - 173.28
6360,SRE,Volume,"922,325"
6361,SRE,Avg. Volume,"1,612,283"
6362,SRE,Market Cap,47.356B
6363,SRE,Beta (5Y Monthly),0.63
6364,SRE,PE Ratio (TTM),48.34
6365,SRE,EPS (TTM),3.12
6366,SRE,Earnings Date,"Aug 03, 2022 - Aug 08, 2022"
6367,SRE,Forward Dividend & Yield,4.58 (3.21%)
6368,SRE,Ex-Dividend Date,6-Jul-22
6369,SRE,1y Target Est,173.19
6370,NOW,Previous Close,504.09
6371,NOW,Open,506.37
6372,NOW,Bid,496.01 x 900
6373,NOW,Ask,497.01 x 800
6374,NOW,Day's Range,489.23 - 509.69
6375,NOW,52 Week Range,406.47 - 707.60
6376,NOW,Volume,"1,127,133"
6377,NOW,Avg. Volume,"1,729,298"
6378,NOW,Market Cap,99.568B
6379,NOW,Beta (5Y Monthly),1.09
6380,NOW,PE Ratio (TTM),455.69
6381,NOW,EPS (TTM),1.09
6382,NOW,Earnings Date,"Jul 26, 2022 - Aug 01, 2022"
6383,NOW,Forward Dividend & Yield,N/A (N/A)
6384,NOW,Ex-Dividend Date,N/A
6385,NOW,1y Target Est,630.74
6386,SHW,Previous Close,231.25
6387,SHW,Open,230.36
6388,SHW,Bid,227.03 x 1200
6389,SHW,Ask,228.41 x 800
6390,SHW,Day's Range,226.18 - 231.21
6391,SHW,52 Week Range,214.22 - 354.15
6392,SHW,Volume,"1,458,546"
6393,SHW,Avg. Volume,"1,836,488"
6394,SHW,Market Cap,59.091B
6395,SHW,Beta (5Y Monthly),1
6396,SHW,PE Ratio (TTM),32.98
6397,SHW,EPS (TTM),6.89
6398,SHW,Earnings Date,27-Jul-22
6399,SHW,Forward Dividend & Yield,2.40 (1.09%)
6400,SHW,Ex-Dividend Date,19-May-22
6401,SHW,1y Target Est,302.05
6402,SBNY,Previous Close,192.14
6403,SBNY,Open,193.06
6404,SBNY,Bid,189.51 x 900
6405,SBNY,Ask,188.64 x 900
6406,SBNY,Day's Range,186.84 - 194.58
6407,SBNY,52 Week Range,165.36 - 374.76
6408,SBNY,Volume,"625,110"
6409,SBNY,Avg. Volume,"1,079,933"
6410,SBNY,Market Cap,11.91B
6411,SBNY,Beta (5Y Monthly),1.78
6412,SBNY,PE Ratio (TTM),11.07
6413,SBNY,EPS (TTM),17.1
6414,SBNY,Earnings Date,"Jul 18, 2022 - Jul 22, 2022"
6415,SBNY,Forward Dividend & Yield,2.24 (1.30%)
6416,SBNY,Ex-Dividend Date,28-Apr-22
6417,SBNY,1y Target Est,330.69
6418,SPG,Previous Close,99.62
6419,SPG,Open,99.94
6420,SPG,Bid,99.40 x 800
6421,SPG,Ask,101.05 x 1100
6422,SPG,Day's Range,98.77 - 101.44
6423,SPG,52 Week Range,93.50 - 171.12
6424,SPG,Volume,"1,756,848"
6425,SPG,Avg. Volume,"2,244,511"
6426,SPG,Market Cap,38.448B
6427,SPG,Beta (5Y Monthly),1.47
6428,SPG,PE Ratio (TTM),14.77
6429,SPG,EPS (TTM),6.78
6430,SPG,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
6431,SPG,Forward Dividend & Yield,6.80 (6.83%)
6432,SPG,Ex-Dividend Date,8-Jun-22
6433,SPG,1y Target Est,149.56
6434,SWKS,Previous Close,98.03
6435,SWKS,Open,99.4
6436,SWKS,Bid,97.78 x 900
6437,SWKS,Ask,97.79 x 800
6438,SWKS,Day's Range,97.60 - 100.70
6439,SWKS,52 Week Range,88.76 - 197.62
6440,SWKS,Volume,"2,217,216"
6441,SWKS,Avg. Volume,"2,220,035"
6442,SWKS,Market Cap,15.785B
6443,SWKS,Beta (5Y Monthly),1.14
6444,SWKS,PE Ratio (TTM),11.91
6445,SWKS,EPS (TTM),8.24
6446,SWKS,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
6447,SWKS,Forward Dividend & Yield,2.24 (2.40%)
6448,SWKS,Ex-Dividend Date,23-May-22
6449,SWKS,1y Target Est,149.4
6450,SJM,Previous Close,128.88
6451,SJM,Open,128.72
6452,SJM,Bid,127.68 x 1000
6453,SJM,Ask,130.50 x 800
6454,SJM,Day's Range,127.52 - 129.37
6455,SJM,52 Week Range,118.55 - 146.74
6456,SJM,Volume,"500,208"
6457,SJM,Avg. Volume,"943,108"
6458,SJM,Market Cap,13.686B
6459,SJM,Beta (5Y Monthly),0.28
6460,SJM,PE Ratio (TTM),22.02
6461,SJM,EPS (TTM),5.84
6462,SJM,Earnings Date,"Aug 24, 2022 - Aug 29, 2022"
6463,SJM,Forward Dividend & Yield,3.96 (3.18%)
6464,SJM,Ex-Dividend Date,12-May-22
6465,SJM,1y Target Est,131.2
6466,SNA,Previous Close,201.87
6467,SNA,Open,203
6468,SNA,Bid,204.28 x 1200
6469,SNA,Ask,207.95 x 800
6470,SNA,Day's Range,200.88 - 205.20
6471,SNA,52 Week Range,190.08 - 235.36
6472,SNA,Volume,"217,534"
6473,SNA,Avg. Volume,"380,908"
6474,SNA,Market Cap,10.892B
6475,SNA,Beta (5Y Monthly),1.08
6476,SNA,PE Ratio (TTM),13.23
6477,SNA,EPS (TTM),15.42
6478,SNA,Earnings Date,"Jul 20, 2022 - Jul 25, 2022"
6479,SNA,Forward Dividend & Yield,5.68 (2.90%)
6480,SNA,Ex-Dividend Date,19-May-22
6481,SNA,1y Target Est,239.78
6482,SEDG,Previous Close,286.34
6483,SEDG,Open,287.21
6484,SEDG,Bid,297.29 x 1000
6485,SEDG,Ask,305.00 x 800
6486,SEDG,Day's Range,286.55 - 303.98
6487,SEDG,52 Week Range,200.86 - 389.71
6488,SEDG,Volume,"932,751"
6489,SEDG,Avg. Volume,"897,904"
6490,SEDG,Market Cap,16.534B
6491,SEDG,Beta (5Y Monthly),1.09
6492,SEDG,PE Ratio (TTM),95.96
6493,SEDG,EPS (TTM),3.11
6494,SEDG,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
6495,SEDG,Forward Dividend & Yield,N/A (N/A)
6496,SEDG,Ex-Dividend Date,N/A
6497,SEDG,1y Target Est,342.32
6498,SO,Previous Close,69.83
6499,SO,Open,69.39
6500,SO,Bid,68.44 x 800
6501,SO,Ask,70.33 x 800
6502,SO,Day's Range,69.29 - 70.68
6503,SO,52 Week Range,60.12 - 77.24
6504,SO,Volume,"3,674,952"
6505,SO,Avg. Volume,"5,432,138"
6506,SO,Market Cap,74.77B
6507,SO,Beta (5Y Monthly),0.48
6508,SO,PE Ratio (TTM),32.72
6509,SO,EPS (TTM),2.15
6510,SO,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
6511,SO,Forward Dividend & Yield,2.72 (4.05%)
6512,SO,Ex-Dividend Date,13-May-22
6513,SO,1y Target Est,73.47
6514,LUV,Previous Close,37.73
6515,LUV,Open,37.83
6516,LUV,Bid,36.98 x 3000
6517,LUV,Ask,36.99 x 1100
6518,LUV,Day's Range,36.80 - 37.90
6519,LUV,52 Week Range,34.36 - 56.33
6520,LUV,Volume,"4,107,728"
6521,LUV,Avg. Volume,"5,939,937"
6522,LUV,Market Cap,21.933B
6523,LUV,Beta (5Y Monthly),0.92
6524,LUV,PE Ratio (TTM),38.13
6525,LUV,EPS (TTM),0.97
6526,LUV,Earnings Date,28-Jul-22
6527,LUV,Forward Dividend & Yield,N/A (N/A)
6528,LUV,Ex-Dividend Date,3-Mar-20
6529,LUV,1y Target Est,56.58
6530,SWK,Previous Close,111.16
6531,SWK,Open,111.67
6532,SWK,Bid,109.19 x 1000
6533,SWK,Ask,109.28 x 1000
6534,SWK,Day's Range,108.66 - 112.03
6535,SWK,52 Week Range,99.43 - 210.92
6536,SWK,Volume,"1,051,633"
6537,SWK,Avg. Volume,"2,162,396"
6538,SWK,Market Cap,16.49B
6539,SWK,Beta (5Y Monthly),1.37
6540,SWK,PE Ratio (TTM),13.97
6541,SWK,EPS (TTM),7.82
6542,SWK,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
6543,SWK,Forward Dividend & Yield,3.16 (2.84%)
6544,SWK,Ex-Dividend Date,6-Jun-22
6545,SWK,1y Target Est,154.21
6546,SBUX,Previous Close,78.11
6547,SBUX,Open,78
6548,SBUX,Bid,77.65 x 900
6549,SBUX,Ask,77.95 x 900
6550,SBUX,Day's Range,77.26 - 78.44
6551,SBUX,52 Week Range,68.39 - 126.32
6552,SBUX,Volume,"6,401,274"
6553,SBUX,Avg. Volume,"10,856,756"
6554,SBUX,Market Cap,89.091B
6555,SBUX,Beta (5Y Monthly),0.97
6556,SBUX,PE Ratio (TTM),20.72
6557,SBUX,EPS (TTM),3.75
6558,SBUX,Earnings Date,2-Aug-22
6559,SBUX,Forward Dividend & Yield,1.96 (2.69%)
6560,SBUX,Ex-Dividend Date,12-May-22
6561,SBUX,1y Target Est,94.4
6562,STT,Previous Close,66.27
6563,STT,Open,66.61
6564,STT,Bid,63.30 x 1000
6565,STT,Ask,65.05 x 900
6566,STT,Day's Range,64.70 - 66.87
6567,STT,52 Week Range,61.29 - 104.87
6568,STT,Volume,"2,720,517"
6569,STT,Avg. Volume,"2,911,470"
6570,STT,Market Cap,23.94B
6571,STT,Beta (5Y Monthly),1.61
6572,STT,PE Ratio (TTM),8.82
6573,STT,EPS (TTM),7.39
6574,STT,Earnings Date,"Jul 14, 2022 - Jul 18, 2022"
6575,STT,Forward Dividend & Yield,2.28 (3.44%)
6576,STT,Ex-Dividend Date,30-Jun-22
6577,STT,1y Target Est,93.36
6578,STE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6579,SYK,Previous Close,204.43
6580,SYK,Open,204.59
6581,SYK,Bid,203.37 x 1100
6582,SYK,Ask,203.37 x 800
6583,SYK,Day's Range,201.74 - 205.54
6584,SYK,52 Week Range,193.34 - 281.16
6585,SYK,Volume,"1,073,177"
6586,SYK,Avg. Volume,"1,431,717"
6587,SYK,Market Cap,76.814B
6588,SYK,Beta (5Y Monthly),1
6589,SYK,PE Ratio (TTM),38.63
6590,SYK,EPS (TTM),5.26
6591,SYK,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
6592,SYK,Forward Dividend & Yield,2.78 (1.42%)
6593,SYK,Ex-Dividend Date,29-Jun-22
6594,SYK,1y Target Est,281.4
6595,SIVB,Previous Close,415.52
6596,SIVB,Open,420.71
6597,SIVB,Bid,412.16 x 1800
6598,SIVB,Ask,414.47 x 900
6599,SIVB,Day's Range,410.25 - 424.76
6600,SIVB,52 Week Range,384.83 - 763.22
6601,SIVB,Volume,"367,995"
6602,SIVB,Avg. Volume,"615,401"
6603,SIVB,Market Cap,24.263B
6604,SIVB,Beta (5Y Monthly),1.81
6605,SIVB,PE Ratio (TTM),14.05
6606,SIVB,EPS (TTM),29.34
6607,SIVB,Earnings Date,21-Jul-22
6608,SIVB,Forward Dividend & Yield,N/A (N/A)
6609,SIVB,Ex-Dividend Date,10-Feb-92
6610,SIVB,1y Target Est,684.52
6611,SYF,Previous Close,29.54
6612,SYF,Open,29.89
6613,SYF,Bid,29.05 x 1100
6614,SYF,Ask,29.80 x 800
6615,SYF,Day's Range,29.12 - 30.15
6616,SYF,52 Week Range,27.40 - 52.49
6617,SYF,Volume,"4,541,778"
6618,SYF,Avg. Volume,"7,008,346"
6619,SYF,Market Cap,14.769B
6620,SYF,Beta (5Y Monthly),1.44
6621,SYF,PE Ratio (TTM),3.98
6622,SYF,EPS (TTM),7.39
6623,SYF,Earnings Date,"Jul 18, 2022 - Jul 22, 2022"
6624,SYF,Forward Dividend & Yield,0.88 (3.01%)
6625,SYF,Ex-Dividend Date,29-Apr-22
6626,SYF,1y Target Est,48.94
6627,SNPS,Previous Close,317.47
6628,SNPS,Open,313.79
6629,SNPS,Bid,312.66 x 800
6630,SNPS,Ask,315.38 x 1400
6631,SNPS,Day's Range,310.23 - 317.21
6632,SNPS,52 Week Range,255.02 - 377.60
6633,SNPS,Volume,"733,400"
6634,SNPS,Avg. Volume,"1,005,735"
6635,SNPS,Market Cap,47.705B
6636,SNPS,Beta (5Y Monthly),1.2
6637,SNPS,PE Ratio (TTM),48.6
6638,SNPS,EPS (TTM),6.42
6639,SNPS,Earnings Date,"Aug 16, 2022 - Aug 22, 2022"
6640,SNPS,Forward Dividend & Yield,N/A (N/A)
6641,SNPS,Ex-Dividend Date,N/A
6642,SNPS,1y Target Est,378.07
6643,SYY,Previous Close,85.57
6644,SYY,Open,85.93
6645,SYY,Bid,83.80 x 900
6646,SYY,Ask,86.72 x 1000
6647,SYY,Day's Range,84.74 - 86.77
6648,SYY,52 Week Range,68.05 - 91.53
6649,SYY,Volume,"2,308,369"
6650,SYY,Avg. Volume,"2,362,306"
6651,SYY,Market Cap,43.866B
6652,SYY,Beta (5Y Monthly),1.13
6653,SYY,PE Ratio (TTM),44.4
6654,SYY,EPS (TTM),1.94
6655,SYY,Earnings Date,"Aug 08, 2022 - Aug 12, 2022"
6656,SYY,Forward Dividend & Yield,1.96 (2.45%)
6657,SYY,Ex-Dividend Date,30-Jun-22
6658,SYY,1y Target Est,94.82
6659,TMUS,Previous Close,137.08
6660,TMUS,Open,135.43
6661,TMUS,Bid,136.29 x 900
6662,TMUS,Ask,136.81 x 1200
6663,TMUS,Day's Range,135.08 - 137.16
6664,TMUS,52 Week Range,101.51 - 150.20
6665,TMUS,Volume,"3,681,694"
6666,TMUS,Avg. Volume,"4,884,901"
6667,TMUS,Market Cap,171.164B
6668,TMUS,Beta (5Y Monthly),0.51
6669,TMUS,PE Ratio (TTM),60.96
6670,TMUS,EPS (TTM),2.24
6671,TMUS,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
6672,TMUS,Forward Dividend & Yield,N/A (N/A)
6673,TMUS,Ex-Dividend Date,1-May-13
6674,TMUS,1y Target Est,166.27
6675,TROW,Previous Close,121.5
6676,TROW,Open,122
6677,TROW,Bid,120.58 x 1100
6678,TROW,Ask,124.23 x 800
6679,TROW,Day's Range,120.06 - 122.59
6680,TROW,52 Week Range,104.72 - 224.56
6681,TROW,Volume,"1,655,348"
6682,TROW,Avg. Volume,"1,737,740"
6683,TROW,Market Cap,27.392B
6684,TROW,Beta (5Y Monthly),1.34
6685,TROW,PE Ratio (TTM),9.75
6686,TROW,EPS (TTM),12.36
6687,TROW,Earnings Date,28-Jul-22
6688,TROW,Forward Dividend & Yield,4.80 (3.95%)
6689,TROW,Ex-Dividend Date,14-Jun-22
6690,TROW,1y Target Est,135.33
6691,TTWO,Previous Close,133.62
6692,TTWO,Open,132.5
6693,TTWO,Bid,129.42 x 800
6694,TTWO,Ask,129.47 x 900
6695,TTWO,Day's Range,127.93 - 133.60
